date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,marketCap,Unnamed: 0
2024-09-28,AAPL,USD,320193.0,2024-11-01,2024-11-01 06:01:36,2024.0,FY,391035000000.0,210352000000.0,180683000000.0,0.4620634982,31370000000.0,0.0,0.0,26097000000.0,0.0,57467000000.0,267819000000.0,0.0,0.0,11445000000.0,134661000000.0,0.3443707085,123216000000.0,0.3151022287,269000000.0,123485000000.0,0.3157901467,29749000000.0,93736000000.0,0.2397125577,6.11,6.08,15343783000.0,15408095000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,29943000000.0,35228000000.0,65171000000.0,66243000000.0,7286000000.0,14287000000.0,152987000000.0,45680000000.0,0.0,0.0,0.0,91479000000.0,19499000000.0,55335000000.0,211993000000.0,0.0,364980000000.0,68960000000.0,22511000000.0,26601000000.0,8249000000.0,50071000000.0,176392000000.0,96548000000.0,0.0,0.0,35090000000.0,131638000000.0,0.0,12430000000.0,308030000000.0,0.0,83276000000.0,-19154000000.0,-7172000000.0,0.0,56950000000.0,56950000000.0,364980000000.0,0.0,364980000000.0,126707000000.0,106629000000.0,76686000000.0,3548944400000.0,
2023-09-30,AAPL,USD,320193.0,2023-11-03,2023-11-02 18:08:27,2023.0,FY,383285000000.0,214137000000.0,169148000000.0,0.4413112958,29915000000.0,0.0,0.0,24932000000.0,382000000.0,54847000000.0,268984000000.0,3750000000.0,3933000000.0,11519000000.0,125820000000.0,0.3282674772,114301000000.0,0.2982141227,-565000000.0,113736000000.0,0.2967400237,16741000000.0,96995000000.0,0.2530623426,6.16,6.13,15744231000.0,15812547000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,29965000000.0,31590000000.0,61555000000.0,60985000000.0,6331000000.0,14695000000.0,143566000000.0,54376000000.0,0.0,0.0,0.0,100544000000.0,17852000000.0,36245000000.0,209017000000.0,0.0,352583000000.0,62611000000.0,17382000000.0,8819000000.0,8061000000.0,48435000000.0,145308000000.0,106548000000.0,0.0,0.0,38581000000.0,145129000000.0,0.0,12842000000.0,290437000000.0,0.0,73812000000.0,-214000000.0,-11452000000.0,0.0,62146000000.0,62146000000.0,352583000000.0,0.0,352583000000.0,132134000000.0,111088000000.0,81123000000.0,3548944400000.0,
2022-09-24,AAPL,USD,320193.0,2022-10-28,2022-10-27 18:01:14,2022.0,FY,394328000000.0,223546000000.0,170782000000.0,0.4330963056,26251000000.0,0.0,0.0,25094000000.0,228000000.0,51573000000.0,275119000000.0,2825000000.0,2931000000.0,11104000000.0,130541000000.0,0.3310467428,119437000000.0,0.302887444,-334000000.0,119103000000.0,0.3020404333,19300000000.0,99803000000.0,0.2530964071,6.15,6.11,16215963000.0,16325819000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,23646000000.0,24658000000.0,48304000000.0,60932000000.0,4946000000.0,21223000000.0,135405000000.0,52534000000.0,0.0,0.0,0.0,120805000000.0,15375000000.0,28636000000.0,217350000000.0,0.0,352755000000.0,64115000000.0,22773000000.0,6552000000.0,7912000000.0,52630000000.0,153982000000.0,109707000000.0,0.0,0.0,38394000000.0,148101000000.0,0.0,12411000000.0,302083000000.0,0.0,64849000000.0,-3068000000.0,-11109000000.0,0.0,50672000000.0,50672000000.0,352755000000.0,0.0,352755000000.0,145463000000.0,132480000000.0,108834000000.0,3548944400000.0,
2021-09-25,AAPL,USD,320193.0,2021-10-29,2021-10-28 18:04:28,2021.0,FY,365817000000.0,212981000000.0,152836000000.0,0.4177935963,21914000000.0,0.0,0.0,21973000000.0,-60000000.0,43827000000.0,256808000000.0,2843000000.0,2645000000.0,11284000000.0,120233000000.0,0.3286697994,108949000000.0,0.2978237753,258000000.0,109207000000.0,0.2985290459,14527000000.0,94680000000.0,0.2588179336,5.67,5.61,16701272000.0,16864919000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,34940000000.0,27699000000.0,62639000000.0,51506000000.0,6580000000.0,14111000000.0,134836000000.0,49527000000.0,0.0,0.0,0.0,127877000000.0,0.0,38762000000.0,216166000000.0,0.0,351002000000.0,54763000000.0,17141000000.0,0.0,7612000000.0,45965000000.0,125481000000.0,119381000000.0,0.0,0.0,43050000000.0,162431000000.0,0.0,11803000000.0,287912000000.0,0.0,57365000000.0,5562000000.0,163000000.0,0.0,63090000000.0,63090000000.0,351002000000.0,0.0,351002000000.0,155576000000.0,136522000000.0,101582000000.0,3548944400000.0,
2020-09-26,AAPL,USD,320193.0,2020-10-30,2020-10-29 18:06:25,2020.0,FY,274515000000.0,169559000000.0,104956000000.0,0.3823324773,18752000000.0,0.0,0.0,19916000000.0,87000000.0,38755000000.0,208314000000.0,3763000000.0,2873000000.0,11056000000.0,77344000000.0,0.2817478098,66288000000.0,0.2414731435,803000000.0,67091000000.0,0.2443983025,9680000000.0,57411000000.0,0.2091361128,3.31,3.28,17352119000.0,17528214000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,38016000000.0,52927000000.0,90943000000.0,37445000000.0,4061000000.0,11264000000.0,143713000000.0,45336000000.0,0.0,0.0,0.0,100887000000.0,0.0,33952000000.0,180175000000.0,0.0,323888000000.0,42296000000.0,15229000000.0,0.0,6643000000.0,41224000000.0,105392000000.0,107049000000.0,0.0,0.0,46108000000.0,153157000000.0,0.0,9842000000.0,258549000000.0,0.0,50779000000.0,14966000000.0,-406000000.0,0.0,65339000000.0,65339000000.0,323888000000.0,0.0,323888000000.0,153814000000.0,122278000000.0,84262000000.0,3548944400000.0,
2024-06-30,MSFT,USD,789019.0,2024-07-30,2024-07-30 16:06:22,2024.0,FY,245122000000.0,74114000000.0,171008000000.0,0.6976444383,29510000000.0,7609000000.0,24456000000.0,32065000000.0,0.0,61575000000.0,135689000000.0,3157000000.0,2935000000.0,22287000000.0,133009000000.0,0.5426236731,109433000000.0,0.4464429957,-1646000000.0,107787000000.0,0.4397279722,19651000000.0,88136000000.0,0.3595597294,11.86,11.8,7431000000.0,7469000000.0,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,18315000000.0,57216000000.0,75531000000.0,56924000000.0,1246000000.0,26033000000.0,159734000000.0,154552000000.0,119220000000.0,27597000000.0,146817000000.0,14600000000.0,0.0,36460000000.0,352429000000.0,0.0,512163000000.0,21996000000.0,14871000000.0,5017000000.0,57582000000.0,25820000000.0,125286000000.0,82981000000.0,2602000000.0,2618000000.0,30199000000.0,118400000000.0,0.0,46222000000.0,243686000000.0,0.0,100923000000.0,173144000000.0,-5590000000.0,0.0,268477000000.0,268477000000.0,512163000000.0,0.0,512163000000.0,71816000000.0,97852000000.0,79537000000.0,3085547738800.0,
2023-06-30,MSFT,USD,789019.0,2023-07-27,2023-07-27 16:01:56,2023.0,FY,211915000000.0,65863000000.0,146052000000.0,0.6892008588,27195000000.0,7575000000.0,22759000000.0,30334000000.0,-223000000.0,57529000000.0,123392000000.0,2994000000.0,1968000000.0,13861000000.0,105140000000.0,0.4962131043,88523000000.0,0.4177288064,788000000.0,89311000000.0,0.4214472784,16950000000.0,72361000000.0,0.3414623788,9.72,9.68,7446000000.0,7472000000.0,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,34704000000.0,76552000000.0,111256000000.0,48688000000.0,2500000000.0,21813000000.0,184257000000.0,109987000000.0,67886000000.0,9366000000.0,77252000000.0,9879000000.0,0.0,30601000000.0,227719000000.0,0.0,411976000000.0,18095000000.0,8853000000.0,4152000000.0,50901000000.0,22148000000.0,104149000000.0,70588000000.0,2912000000.0,433000000.0,27671000000.0,101604000000.0,0.0,32204000000.0,205753000000.0,0.0,93718000000.0,118848000000.0,-6343000000.0,0.0,206223000000.0,206223000000.0,411976000000.0,0.0,411976000000.0,86431000000.0,79441000000.0,44737000000.0,3085547738800.0,
2022-06-30,MSFT,USD,789019.0,2022-07-28,2022-07-28 16:06:19,2022.0,FY,198270000000.0,62650000000.0,135620000000.0,0.6840167448,24512000000.0,5900000000.0,21825000000.0,27725000000.0,-32000000.0,52237000000.0,114887000000.0,2094000000.0,2063000000.0,14460000000.0,100239000000.0,0.5038835931,83383000000.0,0.4205527816,333000000.0,83716000000.0,0.4222323095,10978000000.0,72738000000.0,0.3668633681,9.7,9.65,7496000000.0,7540000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,13931000000.0,90818000000.0,104749000000.0,44261000000.0,3742000000.0,16932000000.0,169684000000.0,87546000000.0,67524000000.0,11298000000.0,78822000000.0,6891000000.0,0.0,21897000000.0,195156000000.0,0.0,364840000000.0,19000000000.0,6037000000.0,4067000000.0,45538000000.0,20440000000.0,95082000000.0,72363000000.0,2870000000.0,230000000.0,27753000000.0,103216000000.0,0.0,28619000000.0,198298000000.0,0.0,86939000000.0,84281000000.0,-4678000000.0,0.0,166542000000.0,166542000000.0,364840000000.0,0.0,364840000000.0,97709000000.0,78400000000.0,64469000000.0,3085547738800.0,
2021-06-30,MSFT,USD,789019.0,2021-07-29,2021-07-29 16:21:55,2021.0,FY,168088000000.0,52232000000.0,115856000000.0,0.6892580077,20716000000.0,5107000000.0,20117000000.0,25224000000.0,98000000.0,45940000000.0,98172000000.0,2131000000.0,2346000000.0,10900000000.0,84348000000.0,0.4987328066,69916000000.0,0.4159487887,1186000000.0,71102000000.0,0.4230046166,9831000000.0,61271000000.0,0.3645173956,8.12,8.05,7547000000.0,7608000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,14224000000.0,116032000000.0,130256000000.0,38043000000.0,2636000000.0,13471000000.0,184406000000.0,70803000000.0,49711000000.0,7800000000.0,57511000000.0,5984000000.0,0.0,15075000000.0,149373000000.0,0.0,333779000000.0,15163000000.0,10825000000.0,2174000000.0,41525000000.0,18970000000.0,88657000000.0,71453000000.0,2616000000.0,198000000.0,28867000000.0,103134000000.0,0.0,24132000000.0,191791000000.0,0.0,83111000000.0,57055000000.0,1822000000.0,0.0,141988000000.0,141988000000.0,333779000000.0,0.0,333779000000.0,122016000000.0,82278000000.0,68054000000.0,3085547738800.0,
2020-06-30,MSFT,USD,789019.0,2020-07-30,2020-07-30 20:44:46,2020.0,FY,143015000000.0,46078000000.0,96937000000.0,0.6778100199,19269000000.0,5111000000.0,19598000000.0,24709000000.0,-40000000.0,43978000000.0,90056000000.0,2680000000.0,2591000000.0,12300000000.0,67927000000.0,0.4782365486,52959000000.0,0.3703038143,77000000.0,53036000000.0,0.3708422193,8755000000.0,44281000000.0,0.3096248645,5.82,5.76,7610000000.0,7683000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,13576000000.0,122916000000.0,136492000000.0,32011000000.0,1895000000.0,11517000000.0,181915000000.0,52904000000.0,43351000000.0,7038000000.0,50389000000.0,2965000000.0,0.0,13138000000.0,119396000000.0,0.0,301311000000.0,12530000000.0,5905000000.0,2130000000.0,36000000000.0,15745000000.0,72310000000.0,76205000000.0,3180000000.0,204000000.0,31108000000.0,110697000000.0,0.0,18783000000.0,183007000000.0,0.0,80552000000.0,34566000000.0,3186000000.0,0.0,118304000000.0,118304000000.0,301311000000.0,0.0,301311000000.0,125881000000.0,82110000000.0,68534000000.0,3085547738800.0,
